rownamesbgutotal_R_assets_after,Brasil,Indonesia,NaturalGas,Soybean,Japan,India,Turkey,China,Bitcoin,france,Italy,UK,oil,Canada,Germany,Agentina,corn,Aluminium,Wheat,Gold,Ethereum,Southkorea,Sugar,Mexico,Tehther,Russia,US
Brasil,15.35, 0.93, 0.26, 0.32, 0.25, 3.12, 1.81, 0.32, 5.72, 6.09, 6.92, 4.96, 2.71,12.06, 5.16, 3.87, 0.95, 0.23, 0.18, 0.45, 4.79, 0.53, 0.82, 5.17, 2.87, 4.19, 9.98
Indonesia, 2.77,39.33, 1.74, 0.22, 3.29, 4.70, 0.49, 1.90, 0.67, 2.85, 1.27, 2.39, 5.65, 3.49, 2.37, 2.96, 1.27, 1.19, 0.65, 1.17, 0.55, 7.47, 0.91, 2.53, 2.03, 3.85, 2.28
NaturalGas, 1.17, 0.87,73.34, 1.31, 0.67, 0.62, 0.23, 0.82, 1.13, 1.52, 0.82, 0.63, 1.64, 2.01, 1.25, 2.12, 0.76, 1.58, 1.13, 0.78, 0.51, 0.32, 0.72, 1.90, 0.42, 0.97, 0.77
Soybean, 0.53, 0.72, 0.25,41.36, 0.53, 0.46, 0.92, 0.55, 1.44, 0.53, 0.71, 0.32, 1.11, 0.52, 0.46, 0.85,25.47, 0.22,14.09, 2.93, 2.27, 0.47, 0.72, 0.38, 0.62, 1.37, 0.19
Japan, 1.38, 2.99, 0.29, 1.12,29.37, 5.23, 1.17, 2.09, 3.43, 5.81, 3.84, 4.12, 3.02, 2.83, 5.77, 1.84, 0.91, 1.26, 0.98, 0.97, 3.62, 8.35, 0.52, 0.90, 1.03, 5.43, 1.73
India, 3.94, 3.48, 0.40, 0.60, 3.84,27.19, 2.26, 1.94, 1.95, 5.58, 4.69, 5.98, 1.26, 4.12, 5.02, 1.85, 0.55, 2.39, 0.55, 0.97, 1.88, 6.98, 1.13, 2.66, 2.87, 2.46, 3.49
Turkey, 1.97, 0.18, 0.33, 0.65, 0.64, 2.48,45.00, 0.34, 3.75, 4.74, 5.85, 5.65, 0.77, 4.09, 4.58, 0.80, 1.61, 0.20, 0.93, 0.26, 3.37, 0.75, 0.55, 2.96, 1.73, 2.90, 2.90
China, 0.71, 2.91, 0.90, 1.23, 3.17, 4.81, 0.67,50.15, 0.36, 1.71, 0.70, 2.07, 1.60, 1.32, 1.75, 0.90, 1.57, 3.59, 0.77, 4.94, 0.80, 5.77, 1.97, 2.14, 0.36, 2.06, 1.05
Bitcoin, 6.31, 0.12, 0.37, 0.24, 0.22, 1.17, 2.86, 0.15,14.68, 3.96, 7.07, 3.61, 2.16, 6.98, 3.80, 1.33, 1.49, 0.33, 0.57, 1.15,23.13, 0.86, 2.41, 2.28, 1.48, 6.10, 5.14
france, 5.37, 0.81, 0.51, 0.19, 2.06, 4.36, 3.00, 0.25, 2.22, 5.86,10.69,12.17, 2.61, 8.84,13.93, 3.24, 0.50, 0.60, 0.13, 0.12, 1.41, 1.47, 0.92, 4.99, 0.25, 7.82, 5.67
Italy, 5.63, 0.54, 0.16, 0.11, 0.84, 3.92, 4.12, 0.11, 5.12,11.97, 9.67,10.58, 0.75, 8.15,11.92, 1.57, 0.31, 0.41, 0.17, 0.27, 4.10, 0.23, 0.69, 3.42, 2.40, 6.40, 6.44
UK, 4.09, 0.98, 0.25, 0.18, 1.51, 4.77, 3.50, 0.56, 2.31,12.31, 9.61,13.23, 1.91, 7.53,11.71, 2.55, 0.49, 0.66, 0.16, 0.19, 1.74, 1.69, 0.72, 5.06, 0.52, 7.16, 4.65
oil, 7.33, 0.39, 0.93, 0.41, 0.26, 1.81, 0.75, 0.47, 2.32, 5.23, 2.46, 3.67,28.45, 9.03, 4.49, 5.86, 1.16, 0.69, 0.09, 2.73, 1.62, 0.21, 0.52, 2.03, 2.51, 9.19, 5.40
Canada,10.03, 0.65, 0.56, 0.26, 0.22, 3.50, 2.84, 0.25, 4.72, 8.71, 8.02, 7.71, 3.34, 6.53, 7.72, 3.40, 0.94, 0.33, 0.16, 0.26, 4.22, 0.26, 1.14, 5.25, 1.65, 6.40,10.94
Germany, 4.49, 0.83, 0.39, 0.24, 2.12, 4.25, 3.13, 0.26, 2.02,15.00,11.35,12.51, 2.25, 8.12, 7.28, 2.96, 0.50, 0.46, 0.14, 0.37, 1.32, 1.49, 0.86, 4.83, 0.25, 7.23, 5.36
Agentina, 5.76, 1.08, 0.82, 0.21, 0.97, 1.73, 0.83, 0.49, 1.01, 5.22, 2.56, 4.07, 4.49, 5.93, 4.51,41.02, 0.71, 0.13, 0.11, 1.56, 1.18, 1.31, 1.19, 5.27, 0.09, 4.92, 2.85
corn, 1.88, 0.48, 0.73,17.96, 0.38, 0.59, 1.25, 1.14, 2.34, 1.29, 0.80, 1.00, 2.00, 2.61, 1.02, 1.32,35.93, 1.25,10.45, 2.54, 2.99, 0.18, 2.43, 1.87, 0.76, 2.76, 2.04
Aluminium, 0.81, 2.24, 1.54, 0.80, 2.43, 4.78, 0.30, 4.18, 0.69, 1.91, 1.15, 1.88, 2.06, 1.15, 1.41, 0.53, 1.72,56.30, 0.46, 1.77, 0.63, 6.71, 1.71, 0.45, 0.68, 0.51, 1.21
Wheat, 0.94, 1.04, 1.13,13.17, 0.61, 1.62, 0.35, 1.33, 1.40, 0.75, 0.97, 0.60, 0.91, 0.81, 0.59, 3.14,13.87, 0.74,41.70, 2.56, 1.61, 3.14, 1.57, 1.96, 1.32, 1.75, 0.38
Gold, 1.35, 1.74, 1.01, 2.29, 2.04, 2.82, 1.49, 3.29, 2.16, 1.95, 1.83, 2.61, 4.53, 1.53, 2.12, 3.43, 2.62, 1.54, 1.79,45.51, 1.87, 3.69, 1.19, 0.94, 0.82, 3.06, 0.78
Ethereum, 6.22, 0.24, 0.11, 0.72, 0.28, 1.55, 2.42, 0.11,25.10, 3.17, 6.35, 3.27, 1.09, 6.81, 2.99, 1.64, 1.97, 0.14, 0.80, 0.94,15.00, 1.24, 3.20, 2.51, 1.84, 5.05, 5.23
Southkorea, 2.62, 7.26, 0.26, 0.27, 7.30, 9.62, 0.60, 4.07, 1.28, 4.83, 1.18, 4.16, 5.41, 2.71, 4.55, 4.19, 0.47, 2.99, 0.84, 2.99, 1.32,20.18, 1.36, 2.96, 1.04, 3.65, 1.91
Sugar, 1.37, 0.95, 0.91, 0.96, 1.11, 1.89, 1.27, 1.02, 3.20, 1.97, 1.25, 1.47, 0.82, 2.13, 1.77, 2.14, 1.94, 0.87, 0.62, 0.93, 3.77, 1.94,56.97, 3.17, 1.33, 1.59, 2.64
Mexico, 5.96, 1.55, 0.59, 0.23, 0.61, 2.71, 2.25, 0.85, 3.03, 6.41, 4.45, 6.35, 1.17, 7.30, 5.92, 4.69, 0.79, 0.17, 0.25, 0.41, 2.39, 2.92, 1.69,25.91, 1.62, 4.32, 5.46
Tehther, 5.52, 1.07, 0.35, 0.78, 1.75, 3.17, 2.80, 0.21, 9.25, 1.73, 8.41, 2.49, 3.81, 4.76, 1.53, 0.35, 0.73, 0.55, 1.64, 1.17, 9.35, 1.87, 2.09, 3.32,21.97, 1.98, 7.36
Russia, 5.24, 0.08, 0.62, 0.36, 1.40, 2.30, 1.20, 0.33, 3.64, 9.05, 5.88, 7.86, 8.10, 8.01, 7.90, 4.17, 1.42, 0.43, 0.60, 1.04, 2.72, 0.14, 0.98, 3.31, 0.58,18.98, 3.65
US, 9.23, 0.78, 0.29, 0.20, 0.11, 2.89, 2.93, 0.26, 4.62, 7.51, 8.15, 6.53, 1.54,13.65, 6.90, 1.73, 0.90, 0.37, 0.18, 0.19, 4.30, 0.53, 1.79, 5.26, 3.28, 3.99,11.88
