rownamesbgutotal_R_assets_after,Brasil,Indonesia,NaturalGas,Soybean,Japan,India,Turkey,China,Bitcoin,france,Italy,UK,oil,Canada,Germany,Agentina,corn,Aluminium,Wheat,Gold,Ethereum,Southkorea,Sugar,Mexico,Tehther,Russia,US
Brasil, 5.25, 4.63, 4.85, 2.17, 2.05, 2.89, 2.67, 1.15, 4.91, 1.70, 1.44, 2.64, 7.88,10.01, 1.87, 4.85, 3.33, 1.96, 3.07, 1.53, 3.79, 3.36, 4.74, 3.39, 0.64, 5.74, 7.48
Indonesia, 6.41, 5.72, 2.44, 1.33, 2.68, 3.64, 1.33, 2.18, 1.53, 4.07, 4.22, 5.42, 1.51, 4.99, 4.39, 1.22, 2.78, 7.76, 3.68, 6.99, 1.92, 6.91, 2.04, 0.84, 1.55, 7.08, 5.37
NaturalGas, 5.70, 0.12,13.83, 2.18, 0.99, 2.09, 0.40, 5.18, 2.76, 4.56, 3.71, 7.85, 5.40, 1.14, 3.97, 7.93, 0.42, 0.83, 1.49, 3.36, 8.05, 1.65,11.89, 1.62, 0.43, 0.77, 1.67
Soybean, 1.28, 0.25, 2.09, 3.40, 1.61, 3.81, 0.92, 0.58, 1.64, 1.13, 1.41, 2.63, 3.66, 0.92, 1.72, 3.21,20.18, 6.44,14.93, 6.96, 2.21, 4.82, 7.79, 1.19, 0.33, 4.06, 0.84
Japan, 0.60, 0.76, 0.66, 1.21, 5.61, 4.35, 1.13, 6.96, 2.91, 7.59, 8.08, 6.04, 2.91, 4.87, 6.64, 1.95, 1.24, 3.00, 1.07, 1.44, 3.34,12.08, 1.12, 2.70, 0.42, 5.34, 6.00
India, 1.85, 1.27, 1.24, 3.40, 3.01, 5.54, 2.63, 1.35, 4.19, 9.12, 9.22, 8.66, 1.26, 5.99, 8.98, 1.18, 4.49, 0.36, 2.00, 1.44, 4.18, 0.97, 1.50, 5.03, 0.76, 5.45, 4.92
Turkey, 3.08, 0.19, 0.89, 4.88, 1.20, 6.12, 5.93, 0.86, 1.37, 5.01, 2.66, 4.13, 1.45, 1.10, 3.37, 1.93, 4.66,11.37, 8.78, 2.61, 1.58, 0.74, 1.65, 0.73,16.05, 6.99, 0.66
China, 1.33, 1.65, 6.40, 1.99,10.34, 2.59, 2.39, 4.69, 3.87, 5.94, 6.05, 6.09, 0.60, 2.68, 4.94, 1.34, 1.91, 1.27, 2.01, 1.22, 4.02,10.12, 2.91, 1.88, 0.74, 6.53, 4.50
Bitcoin, 2.55, 0.09, 0.87, 0.40, 1.99, 5.16, 0.46, 1.50, 1.80, 5.32, 5.75, 3.96, 1.91,11.23, 5.26, 2.16, 1.00, 0.65, 0.40, 1.68,20.89, 0.81, 0.08, 7.78, 0.51, 3.69,12.09
france, 0.31, 0.21, 0.80, 1.05, 4.33, 8.13, 1.87, 2.03, 3.91, 1.00,14.18,12.30, 1.94, 4.01,15.73, 1.89, 2.02, 2.52, 1.40, 0.62, 3.65, 1.47, 1.63, 1.90, 0.41, 7.08, 3.61
Italy, 0.32, 0.15, 0.87, 1.03, 5.06, 7.95, 0.86, 2.26, 4.59,14.40, 0.53,12.33, 1.51, 4.36,14.96, 1.66, 2.37, 2.17, 1.50, 0.19, 4.26, 1.88, 0.93, 3.55, 0.10, 6.49, 3.71
UK, 0.81, 0.16, 1.11, 1.34, 3.63, 7.85, 1.42, 1.62, 3.07,13.21,13.24, 1.85, 1.31, 4.66,14.14, 1.89, 2.54, 2.10, 0.88, 0.10, 3.10, 1.25, 0.98, 5.14, 0.03,10.52, 2.04
oil, 6.52, 0.18, 1.60, 4.46, 3.42, 2.07, 2.52, 0.40, 3.47, 3.03, 1.53, 3.19, 2.80,11.08, 3.10, 2.48, 7.25, 8.15, 7.95, 2.01, 1.92, 1.35, 7.89, 1.22, 1.01, 3.99, 5.40
Canada, 4.28, 1.76, 0.59, 1.50, 3.25, 6.17, 0.48, 0.80, 9.34, 4.06, 4.04, 4.66, 6.70, 1.54, 4.34, 1.22, 1.37, 1.91, 1.56, 1.79, 7.89, 3.45, 2.37, 7.01, 0.29, 3.59,14.05
Germany, 0.39, 0.29, 0.76, 1.32, 3.79, 7.76, 1.22, 1.61, 3.91,15.84,14.97,13.25, 2.04, 4.27, 0.30, 2.09, 2.62, 2.72, 1.66, 0.39, 3.44, 1.27, 1.05, 2.52, 0.26, 7.15, 3.14
Agentina, 2.64, 1.03, 5.89, 6.63, 3.04, 2.15, 0.59, 0.41, 3.62, 2.20, 1.36, 3.24,10.66, 3.72, 2.71, 1.43, 7.64, 6.43,10.21, 1.73, 3.70, 5.47, 5.77, 3.54, 0.47, 1.83, 1.91
corn, 0.21, 0.34, 1.29,16.24, 0.76, 4.52, 1.04, 0.86, 1.37, 3.38, 4.09, 5.00, 4.60, 0.55, 4.23, 1.62, 2.96, 2.97,14.72, 4.51, 2.72, 2.38, 9.55, 1.82, 0.34, 7.42, 0.52
Aluminium, 1.09, 4.10, 2.89, 7.48, 4.02, 1.16, 6.78, 0.47, 1.81, 5.30, 4.01, 4.30, 8.61, 3.28, 5.44, 5.52, 4.55, 2.99, 6.35, 7.13, 2.29, 1.42, 5.01, 0.97, 1.20, 0.75, 1.07
Wheat, 0.64, 0.57, 1.36,15.34, 0.62, 0.97, 2.63, 0.46, 0.72, 1.58, 2.54, 2.19, 7.18, 1.33, 2.02, 4.50,18.47, 5.93, 1.97, 7.78, 1.63, 1.47,10.07, 0.57, 2.15, 4.84, 0.49
Gold, 2.24, 4.14, 2.47, 7.02, 1.54, 2.50, 0.60, 1.14, 6.81, 2.23, 1.45, 1.84, 2.41, 5.68, 1.89, 1.06, 7.28, 6.27, 8.16, 1.01, 8.37, 1.11, 5.75, 4.32, 0.33, 4.48, 7.89
Ethereum, 1.28, 0.30, 1.22, 0.81, 1.94, 5.51, 0.13, 1.10,22.46, 5.54, 5.94, 4.24, 0.05, 9.21, 4.98, 1.22, 2.48, 0.67, 1.19, 1.48, 1.47, 0.38, 0.37, 9.29, 0.15, 6.14,10.48
Southkorea, 0.84, 3.99, 4.40, 5.43,15.63, 1.65, 0.64, 8.70, 2.10, 3.13, 3.45, 2.85, 2.73, 5.55, 2.75, 5.17, 3.82, 1.36, 1.85, 0.99, 2.85, 1.55, 4.45, 4.66, 0.46, 3.23, 5.75
Sugar, 2.05, 0.83, 3.28, 7.64, 1.14, 2.06, 2.52, 1.98, 1.39, 4.25, 2.86, 3.90, 6.52, 3.23, 3.24, 0.63,12.16, 3.24, 9.60, 5.08, 2.44, 2.46, 7.54, 1.41, 0.50, 5.62, 2.41
Mexico, 1.86, 0.45, 2.33, 1.15, 2.04, 6.38, 0.48, 0.93, 8.24, 3.14, 5.22, 7.06, 1.06, 9.40, 3.96, 3.04, 2.53, 0.77, 1.74, 3.91,10.40, 2.71, 0.61, 6.32, 0.88, 6.74, 6.63
Tehther, 1.56, 1.43, 4.58, 2.82, 4.81, 3.90,14.68, 2.74, 2.74, 4.67, 3.44, 4.37, 1.63, 2.33, 4.18, 1.19, 3.03, 2.86, 6.36, 3.05, 2.47, 3.12, 1.56, 2.97, 5.50, 5.91, 2.09
Russia, 2.05, 0.05, 0.24, 2.24, 3.31, 5.43, 2.65, 2.09, 3.07, 9.81, 8.84,13.88, 0.03, 3.93, 9.79, 0.26, 5.25, 0.13, 3.37, 1.12, 5.37, 1.30, 0.06, 5.27, 0.56, 5.85, 4.05
US, 3.42, 2.06, 1.08, 0.49, 4.95, 5.59, 0.88, 2.05,11.48, 4.72, 4.29, 2.66, 3.48,15.82, 4.08, 0.60, 0.56, 0.58, 0.43, 2.38, 9.76, 4.15, 1.69, 5.06, 0.33, 4.17, 3.24
