rownamesbgutotal_R_assets_befor,Brasil,Indonesia,NaturalGas,Soybean,Japan,India,Turkey,China,Bitcoin,france,Italy,UK,oil,Canada,Germany,Agentina,corn,Aluminium,Wheat,Gold,Ethereum,Southkorea,Sugar,Mexico,Tehther,Russia,US
Brasil, 5.81, 2.23, 1.87, 3.23, 0.48, 1.31, 0.64, 2.04, 0.51, 7.57, 6.78, 6.88, 4.56, 6.28, 5.14, 4.79, 2.61, 1.62, 0.52, 2.87, 2.29, 0.53, 4.59,10.33, 0.48, 2.97,11.08
Indonesia, 1.55,13.51, 3.28, 1.65, 2.82, 4.55, 4.58, 2.73, 0.34, 6.98, 5.63, 7.07, 3.61, 5.83, 6.81, 3.20, 1.82, 0.47, 0.19, 2.24, 0.84, 4.36, 0.61, 4.34, 0.23, 8.12, 2.63
NaturalGas, 3.59, 7.86,17.77, 0.20, 2.76, 4.08, 4.03, 0.92, 2.07, 4.70, 5.97, 3.02, 1.77, 3.61, 7.83, 1.13, 1.04, 1.25, 0.24, 4.86, 2.85, 4.40, 2.57, 6.03, 0.54, 2.40, 2.51
Soybean, 5.29, 4.63, 1.01,14.81, 1.42, 3.25, 1.36, 4.43, 3.59, 5.43, 5.15, 3.28, 6.80, 3.08, 3.46, 4.34, 4.71, 0.40, 3.99, 2.05, 3.64, 1.81, 0.72, 2.21, 2.59, 4.69, 1.85
Japan, 1.28, 2.96, 0.99, 0.31, 9.37, 5.32, 5.12, 6.22, 0.40, 6.75, 6.85, 6.77, 4.04, 7.58, 7.29, 1.54, 0.52, 2.20, 0.97, 1.45, 0.29, 8.81, 1.37, 1.64, 0.08, 6.03, 3.85
India, 1.42, 5.01, 1.77, 0.50, 5.67, 6.69, 7.20, 3.87, 0.21, 6.60, 7.34, 5.68, 6.56, 5.41, 7.34, 1.70, 0.35, 1.27, 0.39, 5.72, 0.78, 5.45, 1.14, 1.72, 0.52, 8.32, 1.35
Turkey, 0.62, 5.45, 2.13, 0.12, 5.64, 8.13,12.08, 2.03, 0.40, 6.98, 7.13, 6.10, 3.53, 3.50, 8.36, 1.65, 0.76, 1.22, 2.06, 3.11, 0.66, 5.23, 1.60, 1.53, 0.96, 7.78, 1.24
China, 2.30, 5.59, 0.77, 0.72, 9.88, 6.76, 3.52, 6.48, 1.14, 5.28, 4.77, 4.72, 5.69, 4.84, 6.20, 1.35, 0.33, 0.95, 0.30, 6.88, 0.42,10.17, 0.21, 1.63, 0.28, 7.70, 1.13
Bitcoin, 1.59, 0.65, 1.47, 0.35, 1.50, 1.91, 1.38, 3.39, 5.45, 1.62, 1.66, 1.86, 2.45, 1.03, 1.22, 3.68, 0.32, 5.29, 1.93, 0.29,51.71, 0.97, 0.78, 0.42, 4.54, 2.01, 0.52
france, 3.54, 4.75, 1.07, 1.58, 3.91, 4.12, 4.21, 1.36, 0.13, 1.93, 9.58, 9.38, 6.87, 7.90, 9.49, 2.28, 1.08, 2.32, 0.51, 0.93, 0.35, 4.17, 1.75, 3.52, 0.39, 8.25, 4.63
Italy, 3.54, 4.17, 1.63, 1.55, 4.27, 5.05, 4.51, 1.33, 0.14,10.10, 4.10, 7.57, 7.08, 7.98, 9.70, 1.49, 0.48, 1.96, 0.54, 1.04, 0.47, 4.64, 1.41, 3.21, 0.18, 6.99, 4.89
UK, 3.29, 5.12, 0.76, 0.78, 4.55, 3.81, 4.07, 1.51, 0.39, 9.94, 7.54, 3.14, 5.36, 7.85, 8.28, 2.89, 1.60, 2.74, 0.93, 0.79, 0.94, 4.40, 2.30, 3.40, 0.32, 8.64, 4.66
oil, 2.78, 3.38, 0.62, 1.87, 3.72, 6.06, 2.85, 2.76, 0.14, 9.45, 9.40, 6.97,11.41, 6.34, 8.14, 2.01, 0.11, 2.34, 0.24, 0.92, 0.74, 2.91, 1.82, 1.96, 0.64, 8.01, 2.41
Canada, 3.41, 4.77, 0.91, 0.88, 5.66, 4.00, 2.72, 1.88, 0.11, 9.51, 8.81, 8.94, 5.57, 2.35, 8.99, 2.22, 0.65, 1.65, 0.19, 0.83, 0.23, 6.35, 0.52, 3.54, 0.12, 6.73, 8.45
Germany, 2.46, 4.78, 2.40, 0.69, 4.66, 4.80, 5.14, 2.04, 0.12, 9.71, 9.41, 7.98, 5.97, 7.71, 3.89, 2.29, 0.60, 1.62, 0.24, 1.62, 0.17, 4.70, 1.42, 3.01, 0.47, 7.80, 4.30
Agentina, 5.93, 5.75, 0.50, 1.13, 2.20, 2.27, 2.35, 0.76, 1.87, 5.57, 3.10, 6.38, 3.34, 4.57, 5.51,22.80, 0.19, 1.56, 0.18, 1.67, 1.15, 1.71, 4.19, 4.22, 0.30, 5.59, 5.20
corn, 5.63, 6.11, 2.06, 4.34, 1.80, 1.62, 2.49, 0.88, 0.56, 6.05, 3.87, 6.94, 2.22, 3.83, 4.19, 2.35,17.78, 0.91, 9.19, 0.87, 0.98, 2.65, 2.95, 3.33, 0.17, 3.89, 2.33
Aluminium, 3.30, 1.12, 0.60, 0.17, 4.97, 2.69, 2.40, 2.38, 6.16, 6.96, 5.74, 7.81, 5.19, 4.34, 4.89, 3.18, 1.95,12.93, 3.20, 1.13, 4.30, 5.10, 1.58, 1.44, 0.95, 3.08, 2.45
Wheat, 1.97, 2.75, 1.94, 1.50, 2.01, 2.72, 7.54, 1.33, 4.61, 5.02, 4.96, 5.78, 1.99, 2.55, 4.23, 2.61,10.22, 1.05,13.23, 1.46, 2.91, 2.42, 5.14, 3.06, 0.50, 3.96, 2.53
Gold, 4.31, 5.34, 4.02, 0.21, 4.07,12.38, 6.51, 9.88, 0.36, 3.93, 3.98, 2.99, 2.50, 2.88, 5.73, 1.66, 0.50, 0.44, 0.48, 6.49, 0.43, 5.51, 1.01, 0.78, 2.20, 8.56, 2.88
Ethereum, 5.80, 2.49, 3.22, 0.83, 0.66, 3.41, 1.04, 0.70,52.52, 1.85, 1.88, 3.59, 2.89, 1.17, 0.88, 0.26, 0.36, 0.85, 0.19, 0.20, 5.34, 1.24, 1.78, 1.22, 2.81, 2.42, 0.42
Southkorea, 0.52, 4.87, 1.69, 0.31, 9.70, 5.60, 5.34, 7.17, 0.25, 6.71, 6.80, 6.58, 3.33, 8.10, 7.28, 0.98, 0.58, 2.32, 0.53, 2.59, 0.37, 6.48, 0.48, 2.30, 0.37, 6.26, 2.46
Sugar, 5.24, 2.67, 2.92, 0.32, 4.25, 3.52, 4.07, 1.14, 0.44, 5.67, 5.09, 6.72, 4.21, 2.68, 5.55, 4.49, 1.38, 0.94, 2.38, 1.18, 0.94, 2.87,20.73, 2.49, 1.49, 4.84, 1.80
Mexico, 8.99, 5.90, 3.97, 1.29, 1.53, 1.74, 1.82, 0.81, 0.84, 7.21, 6.06, 6.66, 3.49, 6.33, 5.68, 3.16, 0.92, 0.77, 0.75, 0.28, 1.28, 3.32, 1.52, 9.19, 2.16, 7.30, 7.04
Tehther, 9.51, 1.66, 4.09, 6.51, 1.57, 1.75, 3.54, 3.02, 7.39, 2.99, 2.32, 2.45, 2.90, 1.46, 2.37, 0.64, 3.68, 1.03, 1.64, 4.26, 7.55, 1.24, 3.72, 6.57,10.88, 2.62, 2.65
Russia, 1.57, 6.37, 0.64, 0.95, 4.52, 6.28, 5.41, 3.05, 0.20, 9.38, 7.59, 9.14, 6.56, 6.28, 8.71, 2.60, 0.69, 1.04, 0.45, 2.96, 0.48, 4.30, 1.48, 3.97, 0.67, 2.49, 2.23
US, 9.58, 3.46, 0.89, 0.64, 3.12, 0.91, 1.59, 0.43, 0.20, 8.94, 8.30, 8.54, 3.40,13.83, 7.82, 3.86, 0.45, 1.35, 0.48, 1.83, 0.26, 3.01, 0.98, 6.97, 0.13, 3.81, 5.22
,,,,,,,,,,,,,,,,,,,,,,,,,,,
