rownamesbgutotal_V_assets_after,Brasil,Indonesia,NaturalGas,Soybean,Japan,India,Turkey,China,Bitcoin,france,Italy,UK,oil,Canada,Germany,Agentina,corn,Aluminium,Wheat,Gold,Ethereum,Southkorea,Sugar,Mexico,Tehther,Russia,US
Brasil,  9.70,  2.47,  3.64,  2.16,  2.56,  0.25,  3.71,  2.70,  3.76,  2.73,  3.86,  3.47,  2.10,  4.75,  2.89, 13.16,  3.31,  0.93,  1.67,  2.20,  3.76, 12.02,  3.78,  1.22,  2.32,  2.99,  1.88
Indonesia,  1.69,  5.49,  4.03,  5.94,  2.02,  1.27,  2.70,  3.24,  2.21,  1.24,  2.59,  1.02,  6.36, 19.37,  1.56,  5.28,  2.42,  4.05,  1.92,  3.56,  2.21,  7.81,  2.21,  2.12,  2.01,  1.76,  3.88
NaturalGas,  0.08,  0.03,  5.96,  7.36,  2.52,  0.13,  6.50, 10.53, 10.92,  0.89,  1.72,  0.03,  2.98,  0.14,  0.06,  0.01,  0.27,  1.75,  0.18,  0.81, 10.91,  5.23, 10.87,  0.08,  7.74,  6.79,  5.49
Soybean,  0.58,  2.19, 10.82,  5.83,  0.54,  1.84, 10.39,  4.00,  4.73,  0.40,  1.56,  0.42,  0.54,  1.47,  0.55,  0.98,  5.99,  5.41,  1.24,  1.73,  4.72,  8.63,  4.70,  0.29, 12.43,  4.89,  3.14
Japan,  1.65,  1.59,  4.67,  0.57,  3.13,  0.25,  1.00,  5.85,  9.88,  0.91,  0.48,  0.85,  5.28,  4.35,  2.02,  2.90,  7.22,  0.53,  3.10,  9.46,  9.89,  1.06,  9.87,  0.71,  0.61, 11.32,  0.85
India,  1.09,  0.80,  3.40,  5.38,  0.59,  7.29,  2.03,  1.37,  2.37,  7.02,  6.42,  4.19,  3.66,  1.71,  7.57,  2.78,  7.85,  3.43,  0.94,  1.92,  2.36,  2.47,  2.37,  6.14,  8.07,  1.39,  5.41
Turkey,  1.70,  0.60, 12.11, 10.92,  0.82,  0.06,  5.48,  2.37,  2.90,  0.18,  1.15,  0.88,  1.49,  0.31,  0.37,  0.42,  5.91, 12.43,  0.62,  2.94,  2.89, 11.26,  2.87,  2.21, 13.52,  1.61,  1.97
China,  0.55,  1.04, 12.92,  3.60,  5.67,  0.27,  1.19,  3.85, 12.18,  0.83,  1.23,  0.97,  3.31,  0.75,  0.35,  0.59,  1.24,  0.44,  0.14,  0.52, 12.18,  3.77, 12.18,  0.73,  4.06,  9.07,  6.37
Bitcoin,  1.56,  0.31, 10.48,  2.85,  5.93,  0.36,  1.33,  7.90,  0.00,  1.35,  0.37,  0.12,  4.80,  1.66,  0.47,  1.71,  1.73,  0.64,  0.29,  0.60, 16.27,  0.58, 16.27,  1.87,  3.15, 12.40,  4.97
france,  1.74,  1.14,  4.80,  1.53,  1.71,  3.10,  1.44,  2.86,  4.51,  1.76,  9.38, 10.21,  3.94,  6.54, 17.35,  3.39,  1.66,  0.61,  0.29,  0.89,  4.50,  2.81,  4.50,  0.55,  1.53,  4.37,  2.89
Italy,  0.51,  1.96,  4.74,  2.84,  0.82,  3.38,  1.47,  2.33,  1.35, 10.99, 11.17,  9.99,  2.53,  7.15, 10.81,  3.55,  2.51,  0.40,  0.67,  1.58,  1.35,  6.51,  1.35,  0.20,  2.89,  0.77,  6.17
UK,  0.32,  0.92,  4.60,  1.58,  1.81,  2.53,  2.40,  3.06,  2.60, 11.48,  9.08,  3.03,  3.85,  7.54, 13.83,  4.63,  0.88,  1.18,  0.33,  1.87,  2.60,  2.52,  2.58,  1.58,  1.66,  3.00,  8.54
oil,  0.18,  3.23,  7.73,  1.96,  3.46,  1.19,  2.88,  4.24,  8.89,  1.82,  1.89,  2.39,  3.51,  7.89,  2.04,  2.42,  5.83,  2.23,  0.25,  2.17,  8.90,  2.65,  8.89,  0.73,  2.96,  7.04,  2.66
Canada,  1.39, 10.42,  3.41,  2.48,  3.14,  0.31,  0.94,  1.99,  4.67,  3.51,  4.90,  5.06,  9.83,  1.60,  5.84,  6.25,  4.26,  0.91,  0.59,  3.46,  4.68,  6.01,  4.68,  0.47,  1.16,  4.39,  3.65
Germany,  1.18,  1.26,  3.49,  2.26,  2.59,  3.01,  2.35,  2.13,  2.85, 14.40,  7.65, 10.04,  3.63,  7.80,  1.58,  3.63,  3.61,  1.89,  0.20,  2.44,  2.85,  4.34,  2.84,  1.01,  2.86,  2.87,  5.25
