rownamesbgutotal_V_assets_befor,Brasil,Indonesia,NaturalGas,Soybean,Japan,India,Turkey,China,Bitcoin,france,Italy,UK,oil,Canada,Germany,Agentina,corn,Aluminium,Wheat,Gold,Ethereum,Southkorea,Sugar,Mexico,Tehther,Russia,US
Brasil, 24.43,  2.35,  2.33,  1.24,  3.80,  4.32,  2.27,  0.58,  1.51,  4.50,  2.19,  1.49,  4.82,  2.07,  8.43,  1.06,  2.01,  4.49,  2.46,  1.30,  1.51,  5.89,  1.50,  3.26,  3.09,  1.52,  5.59
Indonesia,  1.11,  7.68,  3.40,  3.21, 11.84,  3.44,  0.23,  0.55,  2.88,  6.09,  0.52,  4.91, 10.50,  5.55,  4.06,  1.33,  1.17,  3.39,  1.63,  1.01,  2.88,  1.30,  2.88,  0.75,  7.61,  1.31,  8.76
NaturalGas,  0.24,  1.04,  2.93, 12.04,  0.59,  7.07,  2.48,  3.18, 14.59,  0.06,  0.33,  0.04,  0.33,  8.02,  0.03,  0.56,  0.72,  7.10,  0.09,  4.56, 14.59,  0.25, 14.60,  0.17,  0.90,  0.03,  3.45
Soybean,  0.04,  0.84, 10.33,  0.27,  1.69,  4.45,  1.99,  6.96, 14.42,  0.23,  0.11,  0.07,  0.14,  7.19,  0.23,  0.43,  0.38,  5.59,  0.51,  2.56, 14.42,  1.53, 14.43,  0.10,  4.07,  2.59,  4.45
Japan,  2.74,  6.59,  2.70,  3.89,  5.30,  1.37,  1.72,  0.33,  3.59,  6.38,  0.91,  7.51,  5.48,  4.96,  5.31,  1.38,  3.65,  5.16,  5.74,  3.18,  3.59,  1.86,  3.58,  1.92,  3.54,  1.03,  6.61
India,  1.83,  2.05, 10.34,  8.27,  0.21,  4.37,  2.24,  2.43, 10.35,  0.84,  0.56,  0.43,  1.38,  8.64,  0.35,  2.46,  0.91, 14.23,  0.45,  3.75, 10.33,  0.20, 10.30,  0.83,  0.81,  0.13,  1.29
Turkey,  1.44,  1.02,  6.41,  4.50,  1.76,  3.98, 15.56,  8.83,  4.47,  1.73,  1.43,  8.04,  3.02,  2.56,  2.20,  1.00,  3.04,  3.60,  5.88,  1.71,  4.48,  2.91,  4.51,  0.74,  2.83,  1.02,  1.31
China,  0.39,  1.07,  5.84, 11.11,  0.41,  2.43,  6.42,  3.55,  9.40,  2.41,  1.64,  8.11,  2.11,  1.71,  2.89,  0.74,  5.04,  1.61,  2.89,  0.77,  9.41,  3.74,  9.43,  0.19,  3.94,  1.80,  0.95
Bitcoin,  0.14,  0.70, 12.01, 13.76,  1.14,  5.85,  1.84,  5.43,  0.00,  0.20,  0.31,  0.11,  0.20,  7.47,  0.20,  0.64,  0.52,  6.88,  0.60,  3.23, 14.86,  1.15, 14.86,  0.43,  2.12,  1.35,  3.99
france,  1.11,  2.18,  2.29,  1.85,  3.29,  1.45,  0.41,  0.88,  1.98,  1.30,  9.31,  3.74,  4.03,  7.96, 13.30,  1.87, 11.16,  1.59,  6.28,  1.42,  1.98,  0.12,  1.99,  1.40,  4.17,  2.24, 10.68
