rownamesbgutotal_V_assets_befor,Brasil,Indonesia,NaturalGas,Soybean,Japan,India,Turkey,China,Bitcoin,france,Italy,UK,oil,Canada,Germany,Agentina,corn,Aluminium,Wheat,Gold,Ethereum,Southkorea,Sugar,Mexico,Tehther,Russia,US
Brasil,  5.81,  3.69,  0.59,  0.95,  3.64,  2.24,  3.39,  4.57,  3.61,  5.87,  4.23,  5.84,  3.64,  6.65,  5.23,  0.41,  0.77,  0.27,  0.68,  4.66,  3.60,  3.33,  3.54,  6.51,  1.49,  6.15,  8.63
Indonesia,  2.04,  4.05,  0.76,  1.27,  5.31,  5.51,  4.93,  4.39,  2.59,  6.16,  3.45,  6.33,  4.54,  7.11,  6.63,  0.19,  0.15,  0.55,  0.67,  6.55,  2.59,  4.34,  2.55,  2.97,  0.56,  7.07,  6.74
NaturalGas,  1.52,  2.94,  4.87,  4.22,  2.69,  3.49,  2.83,  3.01,  4.21,  5.08,  2.88,  6.11,  3.57,  4.65,  4.05,  4.86,  1.07,  3.04,  4.82,  5.06,  4.22,  2.62,  4.23,  4.29,  0.52,  4.98,  4.17
Soybean,  1.93,  3.70,  1.66,  0.97,  5.58,  3.16,  2.92,  5.35,  8.35,  4.25,  3.07,  3.51,  2.68,  4.58,  4.35,  4.77,  2.03,  0.54,  0.21,  3.35,  8.35,  5.59,  8.37,  2.27,  0.29,  3.69,  4.47
Japan,  1.84,  4.76,  0.26,  3.42,  0.61,  5.70,  5.45,  5.99,  4.62,  5.79,  4.85,  4.72,  4.47,  5.97,  6.53,  1.31,  0.49,  0.20,  0.39,  4.53,  4.61,  6.73,  4.59,  1.68,  0.28,  5.28,  4.95
India,  1.21,  5.91,  0.95,  1.18,  6.68,  0.47,  5.90,  4.87,  2.19,  6.56,  5.06,  6.17,  5.39,  6.98,  7.50,  0.29,  0.03,  0.93,  0.36,  7.31,  2.18,  5.37,  2.15,  2.04,  0.32,  7.11,  4.90
Turkey,  2.02,  5.61,  0.57,  1.81,  6.85,  6.40,  4.25,  3.54,  2.90,  6.54,  5.82,  5.58,  3.76,  6.01,  7.37,  0.53,  0.04,  1.58,  0.49,  4.70,  2.90,  3.99,  2.86,  2.17,  0.21,  5.81,  5.69
China,  2.38,  4.51,  0.13,  3.81,  6.52,  4.75,  3.08,  1.59,  5.47,  5.07,  4.01,  4.26,  4.82,  5.64,  5.74,  1.67,  1.54,  0.14,  0.61,  4.40,  5.46,  6.81,  5.44,  1.55,  0.69,  5.24,  4.68
Bitcoin,  3.23,  3.85,  1.29,  6.59,  5.40,  3.06,  3.36,  5.46,  0.00,  4.68,  3.43,  3.78,  2.74,  4.89,  4.71,  3.73,  1.87,  0.76,  0.36,  3.19,  8.10,  5.13,  8.09,  2.99,  0.11,  3.89,  5.32
france,  2.86,  5.21,  1.42,  1.41,  5.35,  5.26,  4.88,  4.31,  2.72,  0.11,  6.01,  7.26,  5.81,  7.11,  7.33,  0.13,  0.23,  0.42,  0.02,  5.22,  2.71,  4.15,  2.68,  3.23,  0.69,  6.99,  6.47
