rownamesgbu_spill_assets,Brasil,Indonesia,NaturalGas,Soybean,Japan,India,Turkey,China,Bitcoin,france,Italy,UK,oil,Canada,Germany,Agentina,corn,Aluminium,Wheat,Gold,Ethereum,Southkorea,Sugar,Mexico,Tehther,Russia,US
Brasil,36.82, 0.85, 0.56, 0.94, 0.37, 2.72, 1.05, 0.38, 1.73, 4.31, 4.89, 4.28, 2.72, 8.70, 3.59, 3.42, 0.71, 0.16, 0.26, 0.28, 1.85, 0.95, 0.46, 5.72, 2.12, 2.79, 7.38
Indonesia, 2.37,59.87, 0.97, 0.68, 1.87, 4.34, 1.53, 1.99, 0.65, 1.85, 1.17, 1.86, 1.08, 1.81, 1.62, 1.16, 0.86, 0.54, 0.34, 1.71, 0.73, 4.52, 0.97, 1.95, 0.50, 2.10, 0.98
NaturalGas, 0.62, 0.91,80.17, 0.61, 0.49, 0.58, 0.86, 0.63, 0.99, 1.08, 0.61, 0.86, 1.51, 0.92, 0.81, 0.64, 0.59, 0.37, 0.58, 0.83, 0.93, 0.38, 0.97, 0.94, 0.34, 1.28, 0.48
Soybean, 1.88, 0.82, 0.63,48.50, 0.56, 0.71, 1.30, 0.76, 0.99, 1.56, 1.66, 1.22, 1.80, 1.51, 1.63, 1.15,15.38, 1.14, 7.05, 1.48, 1.63, 0.90, 1.13, 2.15, 0.15, 1.21, 1.10
Japan, 1.97, 1.19, 0.52, 0.60,34.10, 4.06, 1.03, 2.89, 1.28, 5.55, 4.54, 4.03, 2.44, 4.48, 4.67, 1.03, 0.65, 0.35, 1.07, 0.45, 1.46,10.20, 1.25, 2.00, 0.55, 3.22, 4.41
India, 3.05, 2.35, 0.48, 0.26, 3.31,41.32, 1.94, 1.23, 1.10, 5.23, 4.28, 5.66, 1.48, 4.18, 4.19, 1.34, 0.55, 0.41, 0.38, 0.26, 1.52, 4.38, 0.57, 3.22, 1.62, 3.03, 2.68
Turkey, 1.24, 0.71, 1.00, 0.57, 0.94, 2.23,68.08, 0.43, 0.72, 3.20, 3.17, 2.79, 0.44, 1.94, 3.05, 0.81, 0.33, 0.24, 0.53, 0.38, 0.89, 0.99, 0.42, 1.17, 0.58, 1.88, 1.28
China, 1.51, 1.50, 0.34, 0.69, 3.02, 2.11, 0.72,56.93, 0.50, 2.55, 1.91, 2.42, 2.05, 2.71, 2.42, 1.72, 0.68, 0.62, 0.92, 0.60, 1.03, 5.05, 1.16, 2.02, 0.24, 2.31, 2.26
Bitcoin, 3.00, 0.54, 0.67, 0.35, 0.43, 1.61, 1.09, 0.52,28.27, 3.26, 4.51, 2.21, 0.65, 5.73, 3.35, 0.84, 0.58, 1.69, 0.63, 0.33,28.09, 0.26, 0.96, 1.99, 2.10, 2.30, 4.06
france, 3.88, 0.74, 0.46, 0.55, 2.75, 4.21, 2.10, 1.01, 1.46, 7.51,12.39,13.12, 2.73, 7.99,15.49, 2.31, 0.40, 0.29, 0.24, 0.33, 1.59, 2.09, 0.40, 3.74, 0.60, 5.28, 6.33
Italy, 4.24, 0.45, 0.40, 0.62, 1.29, 3.59, 2.08, 0.54, 2.14,12.63,18.59, 9.41, 1.61, 8.55,12.35, 1.53, 0.36, 0.28, 0.22, 0.28, 2.31, 1.09, 0.34, 3.13, 1.53, 4.09, 6.36
UK, 3.72, 0.84, 0.46, 0.45, 2.17, 4.44, 1.84, 1.15, 1.08,13.25, 9.32,18.76, 2.63, 6.56,11.26, 1.94, 0.53, 0.51, 0.19, 0.22, 1.13, 2.09, 0.54, 3.63, 0.96, 5.40, 4.95
oil, 3.72, 0.18, 0.47, 1.17, 1.70, 1.84, 0.45, 1.50, 0.69, 4.24, 2.34, 3.99,51.07, 5.47, 3.09, 2.74, 0.90, 0.73, 0.67, 0.55, 0.67, 1.05, 1.43, 1.83, 0.43, 4.29, 2.79
Canada, 7.20, 0.42, 0.30, 0.62, 1.42, 3.02, 1.30, 0.89, 2.61, 7.92, 8.39, 6.40, 3.15,17.39, 7.36, 2.66, 0.41, 0.34, 0.28, 0.34, 2.94, 1.69, 0.54, 5.15, 1.98, 3.24,12.02
Germany, 3.43, 0.75, 0.52, 0.68, 2.26, 3.57, 2.04, 1.13, 1.61,16.45,12.81,11.86, 2.09, 7.84,10.49, 2.24, 0.45, 0.24, 0.23, 0.41, 1.68, 2.06, 0.37, 3.56, 0.51, 4.76, 5.96
Agentina, 3.92, 0.60, 0.82, 0.64, 0.91, 1.52, 0.71, 1.09, 0.64, 3.24, 2.20, 2.71, 2.34, 3.90, 2.93,57.64, 0.41, 0.56, 0.66, 0.54, 0.75, 1.33, 1.28, 3.65, 0.36, 1.79, 2.87
