rownamesgbu_spill_assets_V,Brasil,Indonesia,NaturalGas,Soybean,Japan,India,Turkey,China,Bitcoin,france,Italy,UK,oil,Canada,Germany,Agentina,corn,Aluminium,Wheat,Gold,Ethereum,Southkorea,Sugar,Mexico,Tehther,Russia,US
Brasil,25.65, 0.96, 0.38, 0.35, 1.60, 3.86, 1.14, 0.55, 0.42, 7.06, 7.11, 5.87, 1.54,11.54, 7.38, 0.72, 0.41, 0.21, 0.61, 2.11, 0.42, 1.82, 0.42, 4.88, 4.46, 1.46, 7.05
Indonesia, 1.95,40.59, 1.06, 0.88, 1.91, 3.61, 2.09, 2.07, 0.36, 4.19, 2.63, 5.06, 2.64, 4.81, 4.65, 0.49, 1.00, 0.76, 1.74, 1.87, 0.35, 3.50, 0.34, 1.82, 2.34, 3.58, 3.71
NaturalGas, 0.67, 0.45,51.92, 1.65, 1.29, 1.00, 1.13, 0.41, 5.27, 1.38, 0.95, 1.29, 1.68, 2.19, 1.07, 1.30, 0.98, 1.37, 1.90, 0.97, 5.18, 1.40, 5.17, 1.91, 0.70, 3.22, 3.57
Soybean, 0.37, 0.45, 1.72,28.20, 0.80, 0.53, 0.37, 0.71, 6.99, 0.65, 0.65, 0.89, 1.17, 0.72, 0.66, 1.20,14.00, 2.59, 9.47, 3.67, 6.90, 1.19, 6.87, 1.31, 4.53, 2.58, 0.80
Japan, 3.97, 1.68, 0.72, 0.44,18.11, 4.54, 2.21, 2.35, 0.35, 6.07, 5.17, 6.54, 2.50, 7.60, 5.59, 0.40, 0.81, 0.43, 0.90, 2.82, 0.36, 6.28, 0.36, 4.07, 3.06, 4.75, 7.91
India, 3.99, 1.70, 0.61, 0.22, 3.17,28.42, 1.72, 0.85, 0.61, 6.80, 5.49, 7.06, 2.06, 7.06, 6.29, 0.31, 0.40, 0.55, 0.36, 2.95, 0.61, 3.63, 0.61, 2.79, 2.95, 3.20, 5.58
Turkey, 1.78, 1.70, 0.94, 1.61, 1.83, 2.42,47.59, 0.43, 1.70, 3.58, 3.13, 3.98, 0.77, 3.09, 3.53, 0.42, 1.33, 0.75, 2.18, 1.32, 1.64, 1.16, 1.64, 1.31, 2.88, 4.05, 3.21
China, 1.66, 4.41, 2.75, 0.90, 5.14, 2.95, 2.01,32.24, 1.18, 3.34, 2.92, 3.34, 2.05, 3.04, 3.14, 1.53, 1.42, 2.00, 1.44, 2.41, 1.13, 5.84, 1.14, 1.80, 1.56, 4.29, 4.39
Bitcoin, 0.48, 0.20, 4.56, 2.46, 0.71, 0.92, 1.14, 0.31, 0.14, 1.18, 0.82, 1.07, 0.81, 1.27, 1.02, 0.53, 2.33, 3.88, 2.98, 1.48,30.28, 1.28,30.30, 0.66, 3.85, 3.28, 2.07
france, 5.41, 1.32, 0.76, 0.53, 2.84, 5.41, 2.33, 0.33, 0.81, 4.71, 9.31,10.88, 3.08, 9.84,12.22, 0.76, 0.78, 0.52, 0.57, 2.78, 0.81, 2.76, 0.81, 4.09, 3.61, 4.27, 8.46
Italy, 6.48, 0.93, 0.33, 0.58, 1.81, 4.88, 1.78, 0.39, 0.39,10.96,17.45, 8.77, 1.18, 9.25,11.40, 0.37, 0.71, 0.30, 0.59, 1.66, 0.39, 1.55, 0.39, 3.27, 4.26, 2.85, 7.07
