rownamesgbu_spill_assets_V,Brasil,Indonesia,NaturalGas,Soybean,Japan,India,Turkey,China,Bitcoin,france,Italy,UK,oil,Canada,Germany,Agentina,corn,Aluminium,Wheat,Gold,Ethereum,Southkorea,Sugar,Mexico,Tehther,Russia,US
Brasil,24.40, 1.08, 0.52, 0.51, 1.65, 3.72, 1.13, 0.68, 0.41, 6.99, 7.06, 5.86, 1.53,11.16, 7.26, 1.75, 0.70, 0.27, 0.83, 2.09, 0.42, 1.82, 0.42, 4.92, 4.38, 1.44, 6.98
Indonesia, 2.00,37.69, 1.51, 1.27, 1.98, 3.64, 2.00, 2.20, 0.50, 4.18, 2.65, 5.10, 2.42, 4.50, 4.54, 1.28, 1.42, 1.00, 2.13, 1.72, 0.51, 3.43, 0.51, 2.00, 2.32, 3.68, 3.81
NaturalGas, 0.65, 0.72,48.12, 1.80, 1.52, 1.05, 1.08, 0.58, 5.31, 1.39, 1.08, 1.37, 1.60, 2.29, 1.10, 2.86, 1.49, 1.36, 2.33, 0.93, 5.23, 1.50, 5.22, 1.94, 0.82, 3.06, 3.61
Soybean, 0.46, 0.86, 2.16,26.47, 0.94, 0.60, 0.35, 0.90, 6.71, 0.62, 0.80, 0.96, 0.88, 0.94, 0.77, 2.82,13.45, 2.57, 9.03, 3.59, 6.67, 1.11, 6.65, 1.29, 4.73, 2.47, 1.19
Japan, 3.82, 1.96, 0.95, 0.78,16.83, 4.65, 2.06, 2.53, 0.51, 6.02, 5.01, 6.58, 2.39, 7.21, 5.42, 0.86, 1.16, 0.58, 1.21, 2.66, 0.54, 6.25, 0.54, 4.15, 2.89, 4.79, 7.66
India, 3.90, 1.85, 0.75, 0.38, 3.34,27.41, 1.71, 1.01, 0.69, 6.86, 5.28, 7.24, 2.04, 6.74, 6.06, 0.74, 0.58, 0.61, 0.54, 2.96, 0.69, 3.74, 0.69, 2.73, 2.73, 3.31, 5.39
Turkey, 1.81, 1.73, 0.91, 1.70, 1.80, 2.42,46.94, 0.47, 1.70, 3.57, 3.15, 3.92, 0.71, 3.16, 3.55, 0.88, 1.43, 0.74, 2.25, 1.27, 1.65, 1.10, 1.66, 1.34, 2.96, 3.87, 3.32
China, 1.66, 4.47, 2.95, 1.08, 5.05, 3.07, 1.93,30.07, 1.19, 3.38, 2.98, 3.42, 1.89, 3.06, 3.21, 3.22, 1.51, 1.94, 1.51, 2.32, 1.16, 5.43, 1.18, 1.80, 1.73, 4.28, 4.51
Bitcoin, 0.50, 0.30, 4.74, 2.66, 0.78, 0.85, 1.07, 0.38, 0.13, 1.11, 0.85, 1.03, 0.77, 1.30, 1.01, 1.39, 2.68, 3.77, 3.28, 1.40,29.40, 1.22,29.40, 0.77, 3.96, 3.16, 2.07
france, 5.42, 1.27, 0.91, 0.67, 2.83, 5.29, 2.31, 0.38, 0.80, 4.67, 9.29,10.61, 3.01, 9.78,12.09, 1.19, 0.97, 0.53, 0.77, 2.75, 0.81, 2.62, 0.81, 4.19, 3.68, 4.05, 8.32
Italy, 6.50, 0.96, 0.54, 0.84, 1.87, 4.55, 1.78, 0.53, 0.45,10.51,16.69, 8.30, 1.19, 9.24,11.15, 0.78, 1.09, 0.39, 0.90, 1.66, 0.47, 1.57, 0.47, 3.42, 4.36, 2.72, 7.09
UK, 4.41, 2.41, 1.13, 0.68, 2.98, 5.73, 2.60, 0.69, 1.08,10.18, 7.06, 9.04, 3.12, 8.19, 9.22, 0.87, 0.89, 0.71, 0.94, 2.78, 1.10, 3.45, 1.10, 3.78, 3.57, 5.63, 6.67
oil, 5.42, 1.31, 0.90, 0.67, 2.40, 3.53, 1.11, 0.65, 0.70, 6.67, 3.90, 6.63,22.68, 8.05, 6.50, 1.36, 1.02, 0.37, 0.94, 2.60, 0.72, 3.16, 0.72, 5.07, 2.84, 3.53, 6.54
Canada, 8.23, 1.36, 1.30, 0.58, 3.20, 5.02, 1.61, 0.56, 0.73, 8.60, 7.65, 7.75, 2.90, 6.22, 9.48, 0.95, 0.71, 0.45, 0.83, 2.63, 0.74, 3.52, 0.74, 5.24, 4.82, 3.56,10.59
Germany, 5.20, 1.47, 0.90, 0.86, 2.39, 5.05, 2.42, 0.49, 0.68,11.66, 9.52, 9.50, 2.65, 9.80, 5.96, 1.18, 1.09, 0.51, 1.08, 2.48, 0.69, 2.63, 0.69, 4.17, 4.12, 4.44, 8.37
Agentina, 0.68, 0.68, 1.26, 0.24, 0.19, 0.26, 0.34, 0.07, 0.76, 0.80, 2.38, 0.89, 0.64, 1.05, 0.81,76.82, 4.01, 0.24, 1.88, 1.48, 0.74, 0.24, 0.74, 0.44, 0.24, 1.18, 0.93
corn, 1.03, 1.49, 1.78,15.79, 1.18, 1.06, 1.16, 1.20, 6.86, 1.64, 1.75, 1.85, 0.90, 1.53, 1.63, 2.90,12.67,10.55, 7.14, 2.43, 7.05, 1.46, 7.01, 1.47, 2.86, 2.20, 1.42
Aluminium, 0.56, 0.52, 2.13, 1.77, 0.88, 0.39, 0.67, 0.57, 5.71, 0.90, 0.77, 1.03, 1.08, 1.08, 0.67, 1.21, 3.84,55.48, 2.61, 0.71, 5.76, 0.75, 5.75, 0.86, 0.71, 2.12, 1.47
Wheat, 0.93, 1.46, 3.60,10.59, 1.33, 1.25, 1.16, 1.18, 3.84, 1.24, 1.26, 1.75, 1.40, 1.62, 1.53, 6.88,11.04, 3.08,17.15, 1.30, 3.74, 2.29, 3.73, 1.66, 3.15, 9.83, 2.01
Gold, 3.16, 1.46, 1.16, 1.23, 3.25, 4.38, 3.60, 0.82, 1.80, 6.27, 4.63, 6.49, 1.97, 5.13, 5.51, 1.37, 1.28, 2.14, 1.27,19.85, 1.76, 3.00, 1.77, 2.99, 1.98, 5.67, 6.06
Ethereum, 0.48, 0.31, 4.66, 2.57, 0.80, 0.86, 1.05, 0.37,29.76, 1.12, 0.82, 1.06, 0.78, 1.25, 0.99, 1.38, 2.67, 3.77, 3.11, 1.37, 0.08, 1.22,29.62, 0.74, 4.04, 3.09, 1.99
Southkorea, 3.90, 3.13, 1.09, 0.94, 5.24, 5.82, 1.03, 2.91, 0.87, 5.51, 4.41, 6.19, 3.29, 7.53, 5.60, 0.84, 1.49, 0.76, 1.55, 2.71, 0.90,18.17, 0.91, 2.92, 2.18, 4.39, 5.73
Sugar, 0.48, 0.31, 4.66, 2.57, 0.80, 0.86, 1.05, 0.37,29.81, 1.12, 0.82, 1.06, 0.78, 1.26, 0.99, 1.38, 2.67, 3.78, 3.09, 1.38,29.67, 1.22, 0.03, 0.74, 4.03, 3.09, 2.00
