market,Brasil,Indonesia,NaturalGas,Soybean,Japan,India,Turkey,China,Bitcoin,france,Italy,UK,oil,Canada,Germany,Agentina,corn,Aluminium,Wheat,Gold,Ethereum,Southkorea,Sugar,Mexico,Tehther,Russia,US
Brasil,17.87, 1.40, 2.88, 1.51, 1.58, 2.25, 3.24, 1.20, 2.30, 3.78, 4.32, 4.31, 9.42, 6.14, 3.42, 2.06, 2.16, 2.71, 2.04, 2.86, 2.77, 2.10, 1.70, 3.32, 2.13, 5.72, 4.81
Indonesia, 3.47,21.22, 2.65, 2.32, 1.45, 1.97, 2.92, 1.49, 2.72, 2.87, 2.92, 3.40, 8.10, 4.14, 2.63, 1.74, 3.46, 2.59, 3.50, 2.41, 2.92, 2.08, 1.55, 2.76, 2.51, 6.33, 3.87
NaturalGas, 3.50, 1.23,24.40, 1.67, 1.47, 2.25, 2.23, 1.06, 2.44, 2.61, 2.01, 3.31,10.29, 4.51, 2.31, 1.85, 2.47, 4.93, 2.41, 2.44, 2.65, 1.83, 1.25, 2.40, 1.98, 6.15, 4.36
Soybean, 2.60, 1.32, 3.13,22.68, 1.13, 1.45, 2.89, 1.32, 2.29, 1.85, 2.17, 2.19, 6.67, 3.15, 1.77, 1.44, 8.77, 2.45, 6.84, 3.77, 2.37, 1.84, 1.14, 3.65, 3.19, 4.75, 3.19
Japan, 4.29, 1.35, 2.40, 1.37,14.42, 2.17, 3.07, 1.86, 3.59, 3.07, 3.21, 4.86, 7.23, 6.09, 3.36, 2.20, 2.28, 2.22, 2.01, 2.83, 3.42, 3.06, 1.10, 2.84, 4.17, 5.96, 5.56
India, 2.83, 1.35, 2.54, 1.36, 2.52,24.30, 1.61, 1.58, 1.63, 3.63, 4.05, 4.64, 8.90, 5.27, 3.46, 1.12, 2.23, 3.79, 1.94, 2.22, 1.52, 2.08, 1.40, 2.04, 3.39, 4.69, 3.90
Turkey, 4.51, 1.42, 2.12, 2.39, 1.39, 1.22,33.03, 1.22, 2.54, 1.92, 2.01, 2.32, 5.57, 3.37, 2.16, 1.64, 3.22, 2.48, 3.11, 2.22, 2.61, 1.10, 1.17, 2.79, 2.83, 5.69, 3.95
China, 2.80, 1.37, 2.14, 1.83, 2.82, 2.51, 2.10,27.72, 1.87, 3.40, 3.61, 3.38, 4.85, 4.29, 3.46, 1.68, 2.66, 2.43, 2.61, 2.34, 2.03, 3.12, 1.81, 2.70, 2.21, 3.87, 4.38
Bitcoin, 3.51, 1.88, 1.57, 1.89, 1.44, 1.21, 2.39, 1.16,21.54, 2.21, 2.73, 2.96, 3.87, 3.36, 2.03, 1.87, 2.66, 2.82, 2.77, 2.02,14.39, 1.50, 1.71, 2.65, 6.08, 4.82, 2.95
france, 3.51, 1.10, 2.67, 1.20, 1.48, 2.24, 1.95, 1.07, 1.75,14.85, 8.59, 8.11, 7.08, 4.42,11.58, 1.43, 1.82, 2.26, 1.84, 2.96, 1.87, 1.40, 1.04, 2.89, 1.88, 4.38, 4.63
Italy, 4.00, 1.22, 2.04, 1.39, 1.73, 2.90, 2.02, 1.28, 2.03, 9.22,15.69, 6.06, 7.13, 4.89, 8.76, 1.48, 2.04, 2.03, 1.83, 2.20, 2.25, 1.84, 1.34, 2.91, 2.91, 4.61, 4.21
UK, 3.46, 1.33, 2.89, 1.44, 2.53, 2.63, 1.90, 1.00, 1.90, 7.64, 5.26,14.96, 9.30, 5.18, 6.43, 1.40, 2.32, 2.93, 2.48, 2.99, 2.20, 2.15, 0.77, 3.53, 1.60, 4.72, 5.06
oil, 3.23, 1.35, 4.21, 1.65, 1.35, 2.37, 2.16, 1.20, 1.85, 3.60, 3.15, 4.64,24.88, 5.07, 3.19, 1.82, 2.90, 3.77, 2.82, 3.19, 1.93, 2.41, 1.07, 3.16, 1.96, 6.40, 4.68
Canada, 4.78, 1.16, 2.93, 1.27, 2.15, 2.90, 2.27, 1.50, 2.13, 3.95, 3.84, 4.83,10.74,13.59, 4.02, 1.47, 2.13, 3.07, 1.92, 2.42, 2.17, 2.12, 1.08, 3.55, 2.57, 6.07, 9.36
