market,Brasil,Indonesia,NaturalGas,Soybean,Japan,India,Turkey,China,Bitcoin,france,Italy,UK,oil,Canada,Germany,Agentina,corn,Aluminium,Wheat,Gold,Ethereum,Southkorea,Sugar,Mexico,Tehther,Russia,US
Brasil, 8.34, 2.65, 1.69, 0.99, 1.21, 1.90, 2.78, 0.78, 6.82, 5.43, 7.32, 6.35, 3.96, 6.92, 5.65, 2.65, 1.21, 2.24, 2.51, 3.10, 6.67, 1.08, 2.28, 6.02, 3.29, 1.05, 5.09
Indonesia, 6.48, 5.59, 2.11, 1.45, 1.30, 2.26, 3.50, 0.86, 5.76, 5.31, 6.19, 5.85, 3.98, 5.83, 5.43, 2.64, 1.87, 2.02, 2.36, 2.91, 5.57, 2.42, 2.22, 4.92, 2.94, 3.50, 4.71
NaturalGas, 2.47, 1.69,31.83, 2.03, 2.87, 1.38, 3.31, 3.16, 3.34, 3.07, 2.90, 2.95, 3.10, 2.21, 3.15, 3.31, 1.31, 1.10, 2.15, 1.82, 3.11, 4.24, 1.66, 2.48, 2.47, 4.15, 2.74
Soybean, 2.47, 1.69, 1.87,22.33, 3.53, 1.79, 1.50, 1.59, 2.86, 1.76, 2.11, 2.69, 1.28, 2.58, 1.89, 1.96,10.94, 2.81,10.43, 1.45, 2.57, 5.54, 4.31, 1.98, 1.94, 2.27, 1.84
Japan, 6.25, 3.27, 2.04, 2.23, 7.03, 2.14, 2.34, 1.26, 4.51, 4.94, 5.59, 5.49, 2.64, 5.69, 5.23, 3.50, 1.04, 4.56, 4.23, 4.25, 4.15, 3.33, 2.93, 4.22, 2.59, 1.05, 3.51
India, 7.33, 2.52, 1.52, 0.98, 1.04, 2.50, 1.93, 0.79, 8.04, 6.21, 7.61, 7.18, 2.57, 6.48, 6.20, 2.10, 1.16, 2.14, 1.62, 3.38, 7.77, 1.05, 1.14, 6.24, 3.07, 1.74, 5.68
Turkey, 4.66, 1.71, 1.82, 0.63, 0.88, 1.69,28.51, 0.88, 5.34, 4.48, 5.92, 4.34, 3.56, 2.78, 4.96, 1.45, 1.43, 1.11, 1.56, 1.18, 5.17, 0.96, 2.45, 4.35, 3.14, 2.07, 2.97
China, 5.09, 2.12, 2.43, 1.49, 1.64, 1.95, 2.50,18.81, 4.29, 3.96, 5.16, 4.43, 2.03, 3.76, 4.13, 3.11, 2.07, 1.22, 3.21, 2.50, 4.55, 3.28, 2.22, 4.77, 3.16, 2.54, 3.57
Bitcoin, 7.30, 2.34, 1.56, 0.92, 0.79, 2.32, 2.81, 0.80, 8.92, 5.97, 7.95, 6.45, 3.14, 5.71, 6.18, 2.30, 1.38, 1.77, 1.66, 2.51, 8.41, 1.03, 1.46, 6.24, 3.74, 1.49, 4.85
france, 6.72, 2.13, 1.64, 0.51, 0.85, 1.91, 4.20, 0.83, 5.74, 8.68, 7.90, 6.79, 3.52, 4.97, 8.01, 2.57, 1.33, 1.23, 1.87, 3.67, 5.84, 0.77, 2.40, 6.00, 3.64, 1.51, 4.76
Italy, 7.28, 2.26, 1.58, 0.53, 0.82, 2.20, 3.59, 0.97, 7.09, 6.68, 8.56, 6.55, 3.38, 5.29, 6.95, 2.81, 1.23, 1.52, 1.66, 2.69, 7.17, 0.75, 1.84, 6.51, 4.25, 1.12, 4.71
