market,Brasil,Indonesia,NaturalGas,Soybean,Japan,India,Turkey,China,Bitcoin,france,Italy,UK,oil,Canada,Germany,Agentina,corn,Aluminium,Wheat,Gold,Ethereum,Southkorea,Sugar,Mexico,Tehther,Russia,US
Brasil, 6.79, 2.45, 3.60, 2.84, 3.04, 5.14, 4.24, 1.20, 2.09, 2.86, 3.41, 4.47, 6.08, 5.83, 1.72, 1.88, 5.03, 3.84, 4.07, 4.20, 2.14, 3.48, 2.89, 5.21, 1.44, 5.05, 5.00
Indonesia, 4.31, 5.97, 3.62, 2.68, 3.47, 5.38, 4.53, 1.28, 2.42, 3.83, 2.95, 3.94, 5.79, 4.33, 2.36, 1.89, 4.54, 3.50, 3.75, 3.74, 2.44, 2.97, 2.75, 5.64, 1.70, 4.82, 5.38
NaturalGas, 4.24, 1.80, 7.22, 2.57, 4.84, 5.27, 4.31, 2.22, 2.10, 4.57, 3.48, 5.16, 4.15, 3.84, 3.05, 2.07, 4.28, 3.55, 3.01, 2.76, 2.09, 2.30, 2.25, 5.74, 1.90, 5.56, 5.65
Soybean, 4.04, 1.75, 3.42, 7.44, 3.24, 5.75, 4.71, 1.44, 2.14, 4.37, 3.27, 4.11, 4.29, 4.24, 2.71, 1.90, 6.05, 3.50, 3.97, 3.09, 2.07, 1.79, 2.28, 6.08, 1.65, 4.79, 5.92
Japan, 3.38, 1.86, 4.31, 2.34, 9.12, 5.59, 4.08, 2.92, 1.77, 4.07, 3.33, 4.46, 4.64, 3.75, 2.64, 1.93, 4.67, 3.29, 3.22, 2.76, 1.85, 4.50, 2.10, 5.07, 2.27, 4.64, 5.43
India, 3.83, 1.69, 3.13, 2.68, 3.98, 7.43, 4.43, 1.32, 2.97, 5.43, 3.89, 4.13, 4.58, 4.46, 3.58, 2.16, 4.39, 3.34, 3.26, 2.74, 2.94, 2.40, 2.26, 6.35, 1.68, 4.62, 6.32
Turkey, 4.13, 1.49, 3.45, 2.18, 2.46, 3.90,20.15, 0.67, 1.37, 2.16, 2.46, 4.96, 4.09, 4.59, 0.83, 0.96, 5.75, 3.33, 3.73, 3.85, 1.48, 1.81, 3.06, 6.99, 2.51, 4.11, 3.52
China, 4.11, 2.24, 4.17, 2.90, 3.86, 5.71, 4.60, 2.49, 2.43, 5.06, 3.54, 4.54, 4.34, 4.28, 3.31, 1.87, 4.44, 3.47, 3.10, 2.67, 2.41, 2.18, 2.20, 6.50, 1.91, 5.09, 6.56
Bitcoin, 3.92, 1.79, 3.29, 2.68, 3.41, 5.70, 4.63, 1.31, 5.03, 4.39, 3.58, 4.35, 4.18, 4.57, 2.94, 1.87, 4.46, 3.63, 3.46, 2.73, 4.75, 2.07, 2.42, 6.22, 1.66, 4.89, 6.05
france, 3.89, 1.64, 3.78, 2.69, 3.76, 5.97, 4.55, 1.32, 3.21, 5.35, 4.22, 4.89, 3.93, 4.51, 3.70, 1.80, 4.25, 3.60, 3.03, 2.42, 3.23, 2.23, 2.17, 6.56, 1.70, 5.15, 6.43
Italy, 3.95, 1.57, 3.71, 2.78, 3.49, 5.77, 4.53, 1.34, 3.17, 4.97, 4.45, 5.08, 4.02, 4.44, 3.57, 1.89, 4.41, 3.71, 3.33, 2.67, 3.13, 2.26, 2.38, 6.22, 1.75, 5.38, 6.01
UK, 4.10, 1.55, 4.56, 2.86, 3.54, 4.66, 4.29, 1.49, 3.16, 4.04, 4.67, 6.71, 3.74, 4.27, 3.36, 1.87, 4.20, 3.98, 3.54, 2.89, 3.23, 2.60, 2.48, 5.41, 1.88, 5.86, 5.05
oil, 4.34, 2.79, 3.32, 2.53, 3.79, 6.59, 4.46, 1.11, 1.91, 4.10, 2.96, 3.74, 7.11, 4.49, 2.37, 2.27, 5.44, 3.41, 3.84, 4.23, 1.94, 3.15, 2.81, 5.88, 1.69, 4.25, 5.48
Canada, 4.19, 1.98, 3.21, 2.70, 3.57, 6.21, 4.54, 1.14, 3.02, 4.51, 3.66, 4.34, 4.86, 5.23, 2.93, 2.02, 4.83, 3.58, 3.47, 3.17, 3.10, 2.49, 2.64, 6.16, 1.68, 4.57, 6.23
Germany, 3.88, 1.77, 3.58, 2.71, 3.66, 5.89, 4.54, 1.28, 3.29, 5.21, 4.22, 4.94, 4.04, 4.42, 3.77, 1.86, 4.34, 3.58, 3.13, 2.51, 3.29, 2.11, 2.24, 6.48, 1.75, 5.18, 6.33
Agentina, 3.99, 2.11, 3.17, 2.73, 4.07, 6.77, 4.30, 1.27, 2.14, 4.79, 3.42, 4.04, 5.51, 4.36, 3.04, 3.09, 5.07, 3.39, 3.65, 3.46, 2.21, 2.78, 2.59, 6.02, 1.88, 4.24, 5.90
corn, 4.13, 1.67, 3.26, 3.96, 3.39, 5.47, 4.97, 1.06, 2.11, 3.53, 3.10, 4.11, 5.46, 4.31, 2.14, 2.02, 8.49, 3.59, 4.36, 4.60, 2.14, 2.10, 2.78, 5.59, 1.68, 4.77, 5.21
Aluminium, 4.21, 2.12, 3.21, 2.78, 3.42, 5.69, 4.34, 1.27, 2.26, 3.64, 3.26, 3.97, 4.78, 4.47, 2.32, 2.04, 4.75, 9.31, 3.67, 4.01, 2.27, 2.51, 2.47, 5.38, 1.77, 4.96, 5.12
Wheat, 4.00, 2.24, 3.31, 3.32, 3.50, 5.60, 4.35, 1.20, 2.24, 3.90, 3.29, 4.03, 5.03, 4.19, 2.50, 2.47, 5.36, 3.58, 6.43, 4.14, 2.28, 2.70, 2.69, 5.67, 1.85, 4.70, 5.44
Gold, 4.11, 2.29, 3.46, 2.81, 3.50, 5.96, 4.57, 1.18, 2.18, 4.05, 2.86, 3.78, 5.70, 4.21, 2.41, 2.28, 5.69, 3.48, 4.26, 5.35, 2.19, 2.63, 2.93, 5.94, 1.88, 4.67, 5.66
Ethereum, 3.91, 1.86, 3.28, 2.62, 3.51, 5.81, 4.64, 1.28, 4.77, 4.41, 3.55, 4.44, 4.24, 4.57, 2.93, 1.87, 4.45, 3.60, 3.40, 2.74, 4.84, 2.10, 2.43, 6.20, 1.67, 4.80, 6.09
Southkorea, 3.71, 2.37, 3.79, 2.42, 5.02, 5.48, 4.61, 1.77, 1.86, 3.31, 4.02, 4.83, 6.07, 4.35, 2.16, 1.62, 4.94, 3.25, 4.21, 4.13, 2.01, 6.50, 2.81, 4.60, 1.68, 4.55, 3.96
Sugar, 4.27, 2.00, 3.52, 2.73, 3.12, 5.15, 4.24, 1.02, 2.94, 3.26, 3.37, 4.02, 4.80, 4.46, 2.20, 2.42, 4.69, 3.72, 3.95, 4.21, 2.89, 2.58, 7.66, 5.46, 1.56, 4.80, 4.96
Mexico, 4.51, 1.61, 3.11, 2.62, 2.99, 5.61, 5.64, 0.95, 2.73, 4.86, 3.29, 4.18, 4.01, 5.68, 2.74, 1.33, 4.80, 3.51, 3.32, 2.89, 2.71, 1.68, 2.52, 9.40, 1.40, 4.99, 6.91
Tehther, 4.38, 1.64, 3.65, 2.85, 3.31, 4.69, 6.48, 1.13, 1.83, 3.09, 3.24, 4.73, 4.59, 4.60, 2.01, 1.98, 5.04, 3.79, 4.02, 4.07, 1.86, 2.07, 2.56, 5.67, 6.13, 5.44, 5.14
Russia, 4.49, 1.84, 3.74, 3.16, 3.72, 5.28, 4.65, 1.19, 2.22, 3.81, 3.86, 4.66, 4.62, 4.76, 2.52, 1.64, 4.77, 4.00, 3.65, 3.95, 2.12, 2.52, 2.50, 5.82, 1.65, 7.39, 5.47
US, 4.07, 1.72, 3.47, 2.64, 3.78, 5.77, 4.64, 1.19, 2.83, 4.66, 3.90, 4.70, 4.49, 5.02, 3.16, 1.91, 4.62, 3.59, 3.32, 2.92, 2.96, 2.51, 2.44, 6.11, 1.86, 4.88, 6.84
